image_name,image_path,label_name_class,label_num_class,label_name_gender,label_num_gender,label_name_race,label_num_race
focused___116.png,../data_new/focused/focused___116.png,focused,1,female,1,white,0
neutral___160.png,../data_new/neutral/neutral___160.png,neutral,3,female,1,asian,2
angry___173.jpg,../data_new/angry/angry___173.jpg,angry,0,female,1,white,0
focused___184.png,../data_new/focused/focused___184.png,focused,1,male,0,black,1
angry___333.jpg,../data_new/angry/angry___333.jpg,angry,0,female,1,white,0
happy___207.png,../data_new/happy/happy___207.png,happy,2,male,0,white,0
neutral___326.jpg,../data_new/neutral/neutral___326.jpg,neutral,3,male,0,hispanic,3
happy___33.png,../data_new/happy/happy___33.png,happy,2,female,1,white,0
happy___474.png,../data_new/happy/happy___474.png,happy,2,male,0,asian,2
focused___222.png,../data_new/focused/focused___222.png,focused,1,female,1,white,0
focused___362.png,../data_new/focused/focused___362.png,focused,1,male,0,white,0
neutral___154.png,../data_new/neutral/neutral___154.png,neutral,3,male,0,white,0
neutral___264.png,../data_new/neutral/neutral___264.png,neutral,3,male,0,black,1
happy___173.png,../data_new/happy/happy___173.png,happy,2,female,1,white,0
happy___339.jpg,../data_new/happy/happy___339.jpg,happy,2,male,0,black,1
happy___534.jpg,../data_new/happy/happy___534.jpg,happy,2,female,1,white,0
focused___65.png,../data_new/focused/focused___65.png,focused,1,male,0,white,0
angry___392.jpg,../data_new/angry/angry___392.jpg,angry,0,female,1,white,0
focused___230.png,../data_new/focused/focused___230.png,focused,1,male,0,black,1
angry___447.png,../data_new/angry/angry___447.png,angry,0,male,0,white,0
neutral___161.png,../data_new/neutral/neutral___161.png,neutral,3,male,0,white,0
angry___427.png,../data_new/angry/angry___427.png,angry,0,male,0,hispanic,3
happy___298.png,../data_new/happy/happy___298.png,happy,2,female,1,white,0
focused___54.png,../data_new/focused/focused___54.png,focused,1,male,0,hispanic,3
neutral___5.jpg,../data_new/neutral/neutral___5.jpg,neutral,3,male,0,white,0
angry___419.jpg,../data_new/angry/angry___419.jpg,angry,0,male,0,white,0
neutral___256.png,../data_new/neutral/neutral___256.png,neutral,3,male,0,white,0
angry___389.png,../data_new/angry/angry___389.png,angry,0,female,1,white,0
neutral___303.jpg,../data_new/neutral/neutral___303.jpg,neutral,3,male,0,black,1
neutral___239.png,../data_new/neutral/neutral___239.png,neutral,3,male,0,white,0
happy___182.png,../data_new/happy/happy___182.png,happy,2,female,1,white,0
happy___461.jpg,../data_new/happy/happy___461.jpg,happy,2,female,1,black,1
focused___353.png,../data_new/focused/focused___353.png,focused,1,male,0,hispanic,3
happy___490.jpg,../data_new/happy/happy___490.jpg,happy,2,male,0,white,0
neutral___170.png,../data_new/neutral/neutral___170.png,neutral,3,female,1,asian,2
neutral___183.jpg,../data_new/neutral/neutral___183.jpg,neutral,3,female,1,asian,2
happy___161.jpg,../data_new/happy/happy___161.jpg,happy,2,male,0,black,1
happy___151.jpg,../data_new/happy/happy___151.jpg,happy,2,female,1,white,0
angry___340.png,../data_new/angry/angry___340.png,angry,0,male,0,white,0
happy___129.png,../data_new/happy/happy___129.png,happy,2,female,1,white,0
happy___456.jpg,../data_new/happy/happy___456.jpg,happy,2,male,0,white,0
neutral___510.png,../data_new/neutral/neutral___510.png,neutral,3,male,0,white,0
focused___129.jpg,../data_new/focused/focused___129.jpg,focused,1,female,1,white,0
angry___201.png,../data_new/angry/angry___201.png,angry,0,female,1,hispanic,3
happy___186.jpg,../data_new/happy/happy___186.jpg,happy,2,female,1,white,0
angry___79.png,../data_new/angry/angry___79.png,angry,0,male,0,white,0
focused___127.png,../data_new/focused/focused___127.png,focused,1,male,0,white,0
focused___190.png,../data_new/focused/focused___190.png,focused,1,female,1,white,0
neutral___14.png,../data_new/neutral/neutral___14.png,neutral,3,male,0,white,0
neutral___164.jpg,../data_new/neutral/neutral___164.jpg,neutral,3,male,0,hispanic,3
focused___52.png,../data_new/focused/focused___52.png,focused,1,male,0,black,1
happy___459.jpg,../data_new/happy/happy___459.jpg,happy,2,male,0,asian,2
angry___307.jpg,../data_new/angry/angry___307.jpg,angry,0,male,0,white,0
focused___169.png,../data_new/focused/focused___169.png,focused,1,female,1,white,0
